,0,1,2
0,188.0,83.0,1921.0
1,178.0,79.0,1927.0
2,196.0,90.0,1921.0
3,183.0,77.0,1924.0
4,196.0,90.0,1927.0
5,196.0,95.0,1927.0
6,193.0,95.0,1925.0
7,208.0,102.0,1922.0
8,190.0,79.0,1928.0
9,196.0,81.0,1927.0
10,185.0,81.0,1923.0
11,193.0,83.0,1920.0
12,193.0,92.0,1923.0
13,196.0,99.0,1925.0
14,190.0,79.0,1923.0
15,190.0,81.0,1927.0
16,183.0,77.0,1919.0
17,188.0,86.0,1925.0
18,196.0,88.0,1922.0
19,201.0,88.0,1924.0
20,201.0,90.0,1924.0
21,193.0,92.0,1925.0
22,185.0,74.0,1923.0
23,183.0,79.0,1922.0
24,185.0,79.0,1920.0
25,190.0,81.0,1924.0
26,196.0,88.0,1919.0
27,188.0,81.0,1926.0
28,190.0,85.0,1922.0
29,196.0,92.0,1917.0
30,188.0,79.0,1925.0
31,190.0,79.0,1922.0
32,190.0,86.0,1920.0
33,188.0,81.0,1925.0
34,188.0,86.0,1922.0
35,196.0,86.0,1921.0
36,198.0,88.0,1918.0
37,198.0,95.0,1927.0
38,196.0,90.0,1925.0
39,190.0,88.0,1927.0
40,188.0,83.0,1923.0
41,201.0,98.0,1926.0
42,206.0,102.0,1919.0
43,185.0,77.0,1918.0
44,201.0,95.0,1923.0
45,188.0,81.0,1920.0
46,201.0,88.0,1927.0
47,201.0,88.0,1927.0
48,190.0,92.0,1924.0
49,206.0,97.0,1924.0
50,206.0,102.0,1923.0
51,178.0,79.0,1922.0
52,178.0,79.0,1920.0
53,193.0,81.0,1925.0
54,190.0,83.0,1920.0
55,180.0,79.0,1917.0
56,196.0,107.0,1920.0
57,190.0,86.0,1928.0
58,198.0,97.0,1920.0
59,190.0,78.0,1924.0
60,188.0,77.0,1923.0
61,190.0,79.0,1926.0
62,201.0,97.0,1921.0
63,190.0,83.0,1926.0
64,188.0,86.0,1920.0
65,188.0,88.0,1921.0
66,188.0,79.0,1921.0
67,185.0,80.0,1923.0
68,203.0,83.0,1928.0
69,203.0,99.0,1922.0
70,193.0,92.0,1919.0
71,178.0,77.0,1925.0
72,193.0,86.0,1923.0
73,190.0,95.0,1923.0
74,183.0,81.0,1926.0
75,198.0,83.0,1919.0
76,208.0,111.0,1924.0
77,201.0,104.0,1928.0
78,183.0,74.0,1925.0
79,183.0,86.0,1928.0
80,185.0,74.0,1921.0
81,193.0,83.0,1924.0
82,203.0,95.0,1927.0
83,190.0,81.0,1921.0
84,203.0,88.0,1924.0
85,206.0,99.0,1915.0
86,188.0,83.0,1923.0
87,190.0,79.0,1923.0
88,180.0,72.0,1922.0
89,190.0,88.0,1927.0
90,208.0,108.0,1921.0
91,201.0,99.0,1925.0
92,190.0,90.0,1921.0
93,183.0,78.0,1924.0
94,190.0,86.0,1922.0
95,196.0,88.0,1925.0
96,188.0,88.0,1922.0
97,193.0,83.0,1922.0
98,196.0,86.0,1921.0
99,206.0,90.0,1924.0
100,188.0,83.0,1924.0
101,206.0,95.0,1925.0
102,206.0,83.0,1923.0
103,183.0,76.0,1923.0
104,178.0,74.0,1923.0
105,196.0,108.0,1917.0
106,178.0,79.0,1921.0
107,183.0,79.0,1918.0
108,196.0,92.0,1925.0
109,203.0,99.0,1928.0
110,198.0,90.0,1922.0
111,188.0,87.0,1917.0
112,178.0,81.0,1922.0
113,190.0,86.0,1923.0
114,178.0,74.0,1924.0
115,188.0,86.0,1922.0
116,188.0,81.0,1922.0
117,185.0,81.0,1928.0
118,190.0,83.0,1924.0
119,188.0,79.0,1923.0
120,185.0,88.0,1918.0
121,190.0,86.0,1922.0
122,193.0,90.0,1920.0
123,198.0,97.0,1922.0
124,183.0,83.0,1920.0
125,193.0,95.0,1920.0
126,183.0,77.0,1922.0
127,190.0,88.0,1928.0
128,193.0,92.0,1921.0
129,198.0,95.0,1920.0
130,198.0,92.0,1921.0
131,188.0,72.0,1927.0
132,183.0,77.0,1921.0
133,175.0,70.0,1926.0
134,188.0,77.0,1925.0
135,193.0,86.0,1928.0
136,203.0,99.0,1924.0
137,185.0,79.0,1925.0
138,198.0,99.0,1922.0
139,185.0,79.0,1928.0
140,203.0,104.0,1922.0
141,206.0,97.0,1928.0
142,196.0,90.0,1928.0
143,188.0,83.0,1928.0
144,188.0,79.0,1925.0
145,201.0,95.0,1927.0
146,196.0,88.0,1928.0
147,196.0,90.0,1928.0
148,185.0,79.0,1926.0
149,198.0,90.0,1923.0
150,201.0,95.0,1929.0
151,185.0,79.0,1926.0
152,203.0,90.0,1929.0
153,198.0,90.0,1928.0
154,203.0,95.0,1929.0
155,183.0,79.0,1928.0
156,196.0,88.0,1930.0
157,188.0,81.0,1928.0
158,175.0,72.0,1928.0
159,190.0,83.0,1925.0
160,185.0,83.0,1927.0
