,Number,Age,Weight,Salary
0,0.0,25.0,180.0,7730337.0
1,99.0,25.0,235.0,6796117.0
2,28.0,22.0,185.0,1148640.0
3,55.0,21.0,235.0,1170960.0
4,41.0,25.0,238.0,2165160.0
5,12.0,22.0,190.0,1824360.0
6,36.0,22.0,220.0,3431040.0
7,7.0,24.0,260.0,2569260.0
8,4.0,27.0,185.0,6912869.0
9,11.0,27.0,220.0,3425510.0
10,13.0,20.0,215.0,1749840.0
11,44.0,26.0,253.0,2616975.0
12,22.0,24.0,190.0,845059.0
13,21.0,28.0,200.0,1500000.0
14,24.0,21.0,220.0,1335480.0
15,2.0,32.0,200.0,6300000.0
16,6.0,26.0,219.0,134215.0
17,0.0,23.0,175.0,1500000.0
18,11.0,28.0,275.0,19689000.0
19,1.0,21.0,200.0,1140240.0
20,33.0,26.0,220.0,947276.0
21,41.0,25.0,237.0,981348.0
22,14.0,26.0,248.0,947276.0
23,15.0,28.0,205.0,947276.0
24,30.0,27.0,221.0,11235955.0
25,4.0,30.0,210.0,8000000.0
26,17.0,33.0,220.0,1635476.0
27,7.0,32.0,240.0,22875000.0
28,11.0,25.0,210.0,845059.0
29,2.0,24.0,200.0,845059.0
30,13.0,23.0,195.0,1572360.0
31,8.0,28.0,255.0,12650000.0
32,9.0,26.0,250.0,3750000.0
33,42.0,28.0,235.0,1636842.0
34,23.0,25.0,240.0,4000000.0
35,5.0,23.0,205.0,167406.0
36,0.0,25.0,201.0,947276.0
37,33.0,25.0,215.0,1000000.0
38,21.0,22.0,250.0,4626960.0
39,39.0,22.0,210.0,845059.0
40,22.0,22.0,245.0,1074169.0
41,7.0,32.0,248.0,6500000.0
42,5.0,24.0,200.0,2144772.0
43,12.0,24.0,200.0,525093.0
44,4.0,22.0,228.0,3457800.0
45,8.0,20.0,275.0,4582680.0
46,1.0,27.0,175.0,947276.0
47,11.0,22.0,205.0,2869440.0
48,31.0,25.0,206.0,947276.0
49,35.0,20.0,220.0,525093.0
50,5.0,29.0,212.0,13600000.0
51,10.0,26.0,220.0,10050000.0
52,3.0,29.0,250.0,2500000.0
53,6.0,24.0,190.0,7000000.0
54,7.0,30.0,205.0,12000000.0
55,54.0,27.0,235.0,6268675.0
56,24.0,23.0,215.0,650000.0
57,31.0,25.0,195.0,3553917.0
58,1.0,29.0,250.0,245177.0
59,55.0,24.0,190.0,1509360.0
60,40.0,24.0,225.0,3873398.0
61,12.0,31.0,260.0,13800000.0
62,21.0,25.0,175.0,947276.0
63,30.0,28.0,190.0,11370786.0
64,31.0,26.0,265.0,2008748.0
65,23.0,26.0,230.0,14260870.0
66,9.0,32.0,215.0,11710456.0
67,36.0,20.0,220.0,1131960.0
68,20.0,23.0,240.0,845059.0
69,4.0,30.0,220.0,1270964.0
70,5.0,28.0,255.0,3815000.0
71,11.0,26.0,215.0,15501000.0
72,45.0,27.0,250.0,1100602.0
73,19.0,29.0,250.0,111444.0
74,11.0,36.0,195.0,5675000.0
75,22.0,23.0,225.0,525093.0
76,8.0,29.0,235.0,9650000.0
77,32.0,27.0,251.0,18907726.0
78,33.0,28.0,215.0,1100602.0
79,6.0,27.0,265.0,19689000.0
80,12.0,29.0,230.0,947276.0
81,3.0,31.0,175.0,21468695.0
82,34.0,38.0,235.0,3376000.0
83,4.0,31.0,190.0,7085000.0
84,25.0,23.0,200.0,3110796.0
85,30.0,25.0,195.0,1159680.0
86,2.0,31.0,250.0,3000000.0
87,28.0,24.0,250.0,845059.0
88,3.0,23.0,210.0,700000.0
89,6.0,24.0,194.0,845059.0
90,17.0,29.0,270.0,15592217.0
91,4.0,25.0,230.0,1724250.0
92,7.0,23.0,230.0,1155600.0
93,30.0,21.0,250.0,3132240.0
94,1.0,20.0,195.0,5103120.0
95,50.0,27.0,270.0,981348.0
96,37.0,36.0,260.0,947276.0
97,0.0,31.0,210.0,5219169.0
98,2.0,26.0,190.0,13500000.0
99,1.0,19.0,206.0,2127840.0
100,10.0,28.0,209.0,206192.0
101,20.0,21.0,200.0,1160160.0
102,23.0,25.0,215.0,981348.0
103,3.0,24.0,189.0,13500000.0
104,21.0,22.0,260.0,3807120.0
105,30.0,27.0,228.0,1035000.0
106,25.0,25.0,175.0,55722.0
107,14.0,32.0,190.0,947276.0
108,17.0,31.0,245.0,5500000.0
109,12.0,22.0,230.0,2041080.0
110,15.0,23.0,260.0,83397.0
111,13.0,25.0,240.0,981348.0
112,5.0,27.0,213.0,1015421.0
113,31.0,36.0,228.0,1449187.0
114,0.0,22.0,240.0,3398280.0
115,7.0,28.0,175.0,5013559.0
116,15.0,25.0,270.0,15851950.0
117,30.0,25.0,185.0,947276.0
118,26.0,24.0,220.0,525093.0
119,8.0,29.0,230.0,12403101.0
120,41.0,27.0,265.0,7700000.0
121,23.0,23.0,195.0,3156600.0
122,25.0,24.0,238.0,845059.0
123,9.0,30.0,186.0,9500000.0
124,41.0,25.0,250.0,845059.0
125,0.0,31.0,161.0,2250000.0
126,21.0,26.0,220.0,16407500.0
127,34.0,35.0,230.0,4500000.0
128,22.0,30.0,225.0,8500000.0
129,7.0,27.0,185.0,947276.0
130,3.0,24.0,225.0,2380440.0
131,55.0,27.0,191.0,1015421.0
132,13.0,31.0,232.0,13400000.0
133,5.0,21.0,230.0,1391160.0
134,1.0,27.0,190.0,20093064.0
135,20.0,24.0,200.0,1535880.0
136,8.0,25.0,198.0,1147276.0
137,9.0,33.0,255.0,8193029.0
138,2.0,24.0,193.0,16407501.0
139,24.0,35.0,233.0,947276.0
140,1.0,35.0,218.0,947276.0
141,14.0,31.0,260.0,1276000.0
142,0.0,27.0,251.0,19689000.0
143,12.0,25.0,179.0,111196.0
144,4.0,25.0,220.0,8988765.0
145,13.0,25.0,238.0,14260870.0
146,52.0,33.0,198.0,2100000.0
147,50.0,33.0,245.0,2500000.0
148,12.0,29.0,260.0,6500000.0
149,22.0,36.0,172.0,2170465.0
150,17.0,25.0,189.0,111444.0
151,25.0,25.0,205.0,1252440.0
152,5.0,23.0,205.0,2891760.0
153,8.0,23.0,200.0,845059.0
154,0.0,22.0,279.0,3272091.0
155,34.0,23.0,235.0,16000000.0
156,6.0,23.0,205.0,600000.0
157,1.0,26.0,208.0,13913044.0
