quarter,town,flat_type,price
2017-Q1,Ang Mo Kio,1-room,na
2017-Q1,Ang Mo Kio,2-room,-
2017-Q1,Ang Mo Kio,3-room,315000
2017-Q1,Ang Mo Kio,4-room,460000
2017-Q1,Ang Mo Kio,5-room,688000
2017-Q1,Ang Mo Kio,Executive,-
2017-Q1,Bedok,1-room,na
2017-Q1,Bedok,2-room,-
2017-Q1,Bedok,3-room,305000
2017-Q1,Bedok,4-room,410000
2017-Q1,Bedok,5-room,552500
2017-Q1,Bedok,Executive,-
2017-Q1,Bishan,1-room,na
2017-Q1,Bishan,2-room,na
2017-Q1,Bishan,3-room,-
2017-Q1,Bishan,4-room,547500
2017-Q1,Bishan,5-room,745300
2017-Q1,Bishan,Executive,-
2017-Q1,Bukit Batok,1-room,na
2017-Q1,Bukit Batok,2-room,na
2017-Q1,Bukit Batok,3-room,276500
2017-Q1,Bukit Batok,4-room,411000
2017-Q1,Bukit Batok,5-room,-
2017-Q1,Bukit Batok,Executive,-
2017-Q1,Bukit Merah,1-room,-
2017-Q1,Bukit Merah,2-room,-
2017-Q1,Bukit Merah,3-room,358000
2017-Q1,Bukit Merah,4-room,630000
2017-Q1,Bukit Merah,5-room,750000
2017-Q1,Bukit Merah,Executive,na
2017-Q1,Bukit Panjang,1-room,na
2017-Q1,Bukit Panjang,2-room,na
2017-Q1,Bukit Panjang,3-room,-
2017-Q1,Bukit Panjang,4-room,358000
2017-Q1,Bukit Panjang,5-room,460000
2017-Q1,Bukit Panjang,Executive,-
2017-Q1,Bukit Timah,1-room,na
2017-Q1,Bukit Timah,2-room,na
2017-Q1,Bukit Timah,3-room,-
2017-Q1,Bukit Timah,4-room,-
2017-Q1,Bukit Timah,5-room,-
2017-Q1,Bukit Timah,Executive,-
2017-Q1,Central,1-room,na
2017-Q1,Central,2-room,-
2017-Q1,Central,3-room,-
2017-Q1,Central,4-room,811500
2017-Q1,Central,5-room,-
2017-Q1,Central,Executive,na
2017-Q1,Choa Chu Kang,1-room,na
2017-Q1,Choa Chu Kang,2-room,na
2017-Q1,Choa Chu Kang,3-room,-
2017-Q1,Choa Chu Kang,4-room,343000
2017-Q1,Choa Chu Kang,5-room,405000
2017-Q1,Choa Chu Kang,Executive,553000
2017-Q1,Clementi,1-room,na
2017-Q1,Clementi,2-room,na
2017-Q1,Clementi,3-room,340000
2017-Q1,Clementi,4-room,530000
2017-Q1,Clementi,5-room,-
2017-Q1,Clementi,Executive,-
2017-Q1,Geylang,1-room,na
2017-Q1,Geylang,2-room,-
2017-Q1,Geylang,3-room,281500
2017-Q1,Geylang,4-room,513800
2017-Q1,Geylang,5-room,-
2017-Q1,Geylang,Executive,-
2017-Q1,Hougang,1-room,na
2017-Q1,Hougang,2-room,-
2017-Q1,Hougang,3-room,296000
2017-Q1,Hougang,4-room,390000
2017-Q1,Hougang,5-room,478000
2017-Q1,Hougang,Executive,630000
2017-Q1,Jurong East,1-room,na
2017-Q1,Jurong East,2-room,-
2017-Q1,Jurong East,3-room,285000
2017-Q1,Jurong East,4-room,410000
2017-Q1,Jurong East,5-room,515000
2017-Q1,Jurong East,Executive,-
2017-Q1,Jurong West,1-room,na
2017-Q1,Jurong West,2-room,-
2017-Q1,Jurong West,3-room,274000
2017-Q1,Jurong West,4-room,375000
2017-Q1,Jurong West,5-room,462500
2017-Q1,Jurong West,Executive,586500
2017-Q1,Kallang/Whampoa,1-room,na
2017-Q1,Kallang/Whampoa,2-room,-
2017-Q1,Kallang/Whampoa,3-room,335000
2017-Q1,Kallang/Whampoa,4-room,574000
2017-Q1,Kallang/Whampoa,5-room,785000
2017-Q1,Kallang/Whampoa,Executive,-
2017-Q1,Marine Parade,1-room,na
2017-Q1,Marine Parade,2-room,na
2017-Q1,Marine Parade,3-room,-
2017-Q1,Marine Parade,4-room,-
2017-Q1,Marine Parade,5-room,-
2017-Q1,Marine Parade,Executive,na
2017-Q1,Pasir Ris,1-room,na
2017-Q1,Pasir Ris,2-room,na
2017-Q1,Pasir Ris,3-room,-
2017-Q1,Pasir Ris,4-room,395000
2017-Q1,Pasir Ris,5-room,475000
2017-Q1,Pasir Ris,Executive,600000
2017-Q1,Punggol,1-room,na
2017-Q1,Punggol,2-room,na
2017-Q1,Punggol,3-room,-
2017-Q1,Punggol,4-room,452500
2017-Q1,Punggol,5-room,450000
2017-Q1,Punggol,Executive,-
2017-Q1,Queenstown,1-room,na
2017-Q1,Queenstown,2-room,-
2017-Q1,Queenstown,3-room,340000
2017-Q1,Queenstown,4-room,702500
2017-Q1,Queenstown,5-room,-
2017-Q1,Queenstown,Executive,-
2017-Q1,Sembawang,1-room,na
2017-Q1,Sembawang,2-room,na
2017-Q1,Sembawang,3-room,-
2017-Q1,Sembawang,4-room,365000
2017-Q1,Sembawang,5-room,410000
2017-Q1,Sembawang,Executive,-
2017-Q1,Sengkang,1-room,na
2017-Q1,Sengkang,2-room,-
2017-Q1,Sengkang,3-room,-
2017-Q1,Sengkang,4-room,415000
2017-Q1,Sengkang,5-room,440000
2017-Q1,Sengkang,Executive,561000
2017-Q1,Serangoon,1-room,na
2017-Q1,Serangoon,2-room,na
2017-Q1,Serangoon,3-room,320000
2017-Q1,Serangoon,4-room,443800
2017-Q1,Serangoon,5-room,-
2017-Q1,Serangoon,Executive,-
2017-Q1,Tampines,1-room,na
2017-Q1,Tampines,2-room,-
2017-Q1,Tampines,3-room,319000
2017-Q1,Tampines,4-room,423000
2017-Q1,Tampines,5-room,519000
2017-Q1,Tampines,Executive,655000
2017-Q1,Toa Payoh,1-room,na
2017-Q1,Toa Payoh,2-room,-
2017-Q1,Toa Payoh,3-room,306000
2017-Q1,Toa Payoh,4-room,631000
2017-Q1,Toa Payoh,5-room,830000
2017-Q1,Toa Payoh,Executive,-
2017-Q1,Woodlands,1-room,na
2017-Q1,Woodlands,2-room,na
2017-Q1,Woodlands,3-room,265000
2017-Q1,Woodlands,4-room,350000
2017-Q1,Woodlands,5-room,420000
2017-Q1,Woodlands,Executive,579000
2017-Q1,Yishun,1-room,na
2017-Q1,Yishun,2-room,-
2017-Q1,Yishun,3-room,285000
2017-Q1,Yishun,4-room,356000
2017-Q1,Yishun,5-room,455000
2017-Q1,Yishun,Executive,586500
2017-Q2,Ang Mo Kio,1-room,na
2017-Q2,Ang Mo Kio,2-room,-
2017-Q2,Ang Mo Kio,3-room,308900
2017-Q2,Ang Mo Kio,4-room,465500
2017-Q2,Ang Mo Kio,5-room,667500
2017-Q2,Ang Mo Kio,Executive,-
2017-Q2,Bedok,1-room,na
2017-Q2,Bedok,2-room,-
2017-Q2,Bedok,3-room,300000
2017-Q2,Bedok,4-room,415000
2017-Q2,Bedok,5-room,560000
2017-Q2,Bedok,Executive,-
2017-Q2,Bishan,1-room,na
2017-Q2,Bishan,2-room,na
2017-Q2,Bishan,3-room,-
2017-Q2,Bishan,4-room,568000
2017-Q2,Bishan,5-room,779500
2017-Q2,Bishan,Executive,-
2017-Q2,Bukit Batok,1-room,na
2017-Q2,Bukit Batok,2-room,na
2017-Q2,Bukit Batok,3-room,275000
2017-Q2,Bukit Batok,4-room,395000
2017-Q2,Bukit Batok,5-room,535000
2017-Q2,Bukit Batok,Executive,-
2017-Q2,Bukit Merah,1-room,-
2017-Q2,Bukit Merah,2-room,-
2017-Q2,Bukit Merah,3-room,367500
2017-Q2,Bukit Merah,4-room,688000
2017-Q2,Bukit Merah,5-room,745000
2017-Q2,Bukit Merah,Executive,na
2017-Q2,Bukit Panjang,1-room,na
2017-Q2,Bukit Panjang,2-room,-
2017-Q2,Bukit Panjang,3-room,290000
2017-Q2,Bukit Panjang,4-room,370000
2017-Q2,Bukit Panjang,5-room,465000
2017-Q2,Bukit Panjang,Executive,-
2017-Q2,Bukit Timah,1-room,na
2017-Q2,Bukit Timah,2-room,na
2017-Q2,Bukit Timah,3-room,-
2017-Q2,Bukit Timah,4-room,-
2017-Q2,Bukit Timah,5-room,-
2017-Q2,Bukit Timah,Executive,-
2017-Q2,Central,1-room,na
2017-Q2,Central,2-room,na
2017-Q2,Central,3-room,410000
2017-Q2,Central,4-room,-
2017-Q2,Central,5-room,-
2017-Q2,Central,Executive,na
2017-Q2,Choa Chu Kang,1-room,na
2017-Q2,Choa Chu Kang,2-room,na
2017-Q2,Choa Chu Kang,3-room,-
2017-Q2,Choa Chu Kang,4-room,345000
2017-Q2,Choa Chu Kang,5-room,410000
2017-Q2,Choa Chu Kang,Executive,520000
2017-Q2,Clementi,1-room,na
2017-Q2,Clementi,2-room,na
2017-Q2,Clementi,3-room,342500
2017-Q2,Clementi,4-room,610000
2017-Q2,Clementi,5-room,-
2017-Q2,Clementi,Executive,-
2017-Q2,Geylang,1-room,na
2017-Q2,Geylang,2-room,-
2017-Q2,Geylang,3-room,270000
2017-Q2,Geylang,4-room,500000
2017-Q2,Geylang,5-room,610000
2017-Q2,Geylang,Executive,-
2017-Q2,Hougang,1-room,na
2017-Q2,Hougang,2-room,-
2017-Q2,Hougang,3-room,298000
2017-Q2,Hougang,4-room,390000
2017-Q2,Hougang,5-room,480000
2017-Q2,Hougang,Executive,670000
2017-Q2,Jurong East,1-room,na
2017-Q2,Jurong East,2-room,-
2017-Q2,Jurong East,3-room,295000
2017-Q2,Jurong East,4-room,408000
2017-Q2,Jurong East,5-room,-
2017-Q2,Jurong East,Executive,-
2017-Q2,Jurong West,1-room,na
2017-Q2,Jurong West,2-room,-
2017-Q2,Jurong West,3-room,272500
2017-Q2,Jurong West,4-room,360000
2017-Q2,Jurong West,5-room,468000
2017-Q2,Jurong West,Executive,557500
2017-Q2,Kallang/Whampoa,1-room,na
2017-Q2,Kallang/Whampoa,2-room,-
2017-Q2,Kallang/Whampoa,3-room,320000
2017-Q2,Kallang/Whampoa,4-room,568500
2017-Q2,Kallang/Whampoa,5-room,711500
2017-Q2,Kallang/Whampoa,Executive,-
2017-Q2,Marine Parade,1-room,na
2017-Q2,Marine Parade,2-room,-
2017-Q2,Marine Parade,3-room,400000
2017-Q2,Marine Parade,4-room,-
2017-Q2,Marine Parade,5-room,-
2017-Q2,Marine Parade,Executive,na
2017-Q2,Pasir Ris,1-room,na
2017-Q2,Pasir Ris,2-room,na
2017-Q2,Pasir Ris,3-room,-
